,Record Type,VIN,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
43926,VEH,7SAYGDEE3PA130036,PAS,ELMHURST,NY,11373,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,05/03/2024,04/18/2026,WH,N,N,N
43929,VEH,7SAYGDEE3PA129503,PAS,BROOKLYN,NY,11207,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,06/14/2023,06/13/2025,GY,N,N,N
43930,VEH,7SAYGDEE3PA129291,PAS,NEW YORK,NY,10001,NEW YORK,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,06/20/2023,06/19/2025,GY,N,N,N
43932,VEH,7SAYGDEE3PA129145,PAS,MIDDLE VILLAGE,NY,11379,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,06/17/2023,06/16/2025,WH,N,N,N
43934,VEH,7SAYGDEE3PA128951,PAS,BAYSIDE,NY,11360,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,06/14/2023,06/13/2025,WH,N,N,N
43940,VEH,7SAYGDEE3PA126536,PAS,STATEN ISLAND,NY,10309,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,03/25/2024,03/04/2026,WH,N,N,N
43943,VEH,7SAYGDEE3PA125385,PAS,STATEN ISLAND,NY,10310,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,01/26/2024,01/25/2026,WH,N,Y,N
43944,VEH,7SAYGDEE3PA125306,PAS,RIDGEWOOD,NY,11385,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,05/31/2023,05/30/2025,BL,N,N,N
43955,VEH,7SAYGDEE3PA123328,PAS,FOREST HILLS,NY,11375,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,06/03/2023,06/02/2025,BK,N,N,N
43963,VEH,7SAYGDEE3PA120896,PAS,BRIARWOOD,NY,11435,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,05/26/2023,05/25/2025,BL,N,N,N
43968,VEH,7SAYGDEE3PA119571,PAS,FLUSHING,NY,11367,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,06/06/2023,06/05/2025,BK,N,N,N
43971,VEH,7SAYGDEE3PA118839,PAS,NEW YORK CITY,NY,10023,NEW YORK,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,05/25/2023,05/24/2025,BK,N,Y,N
43989,VEH,7SAYGDEE3PA115925,PAS,STATEN ISLAND,NY,10309,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,06/21/2023,08/16/2025,BK,N,N,N
43998,VEH,7SAYGDEE3PA113950,PAS,BAYSIDE,NY,11361,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,06/22/2023,05/13/2025,WH,N,N,N
44002,VEH,7SAYGDEE3PA113494,PAS,WHITESTONE,NY,11357,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,05/14/2023,05/13/2025,BL,N,N,N
44003,VEH,7SAYGDEE3PA113267,PAS,BROOKLYN,NY,11234,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,05/13/2023,05/12/2025,WH,N,N,N
44007,VEH,7SAYGDEE3PA112507,PAS,STATEN ISLAND,NY,10304,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,04/14/2024,06/15/2026,WH,N,N,N
44012,VEH,7SAYGDEE3PA111681,PAS,HOWARD BEACH,NY,11414,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,05/15/2023,05/14/2025,BL,N,N,N
44014,VEH,7SAYGDEE3PA111499,PAS,FRESH MEADOWS,NY,11365,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,05/10/2023,05/09/2025,WH,N,N,N
44020,VEH,7SAYGDEE3PA109719,PAS,BROOKLYN,NY,11235,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,04/29/2023,04/28/2025,WH,N,N,N
44025,VEH,7SAYGDEE3PA109039,PAS,BROOKLYN,NY,11214,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,05/09/2023,05/08/2025,WH,N,N,N
44045,VEH,7SAYGDEE3PA105332,PAS,BROOKLYN,NY,11233,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,04/22/2023,04/21/2025,GY,N,N,N
